CMAbbreviation,SCC,Status
PHDDRETRO,2270002039,CURRENT
PHDDRETRO,2270002042,CURRENT
PHDDRETRO,2270002045,CURRENT
PHDDRETRO,2270002048,CURRENT
PHDDRETRO,2270002051,CURRENT
PHDDRETRO,2270002054,CURRENT
PHDDRETRO,2270002057,CURRENT
PHDDRETRO,2270002060,CURRENT
PHDDRETRO,2270002063,CURRENT
PHDDRETRO,2270002066,CURRENT
PHDDRETRO,2270002069,CURRENT
PHDDRETRO,2270002072,CURRENT
PHDDRETRO,2270002075,CURRENT
PHDDRETRO,2270002078,CURRENT
PHDDRETRO,2270002081,CURRENT
PHDDRETRO,2270003000,CURRENT
PHDDRETRO,2270003010,CURRENT
PHDDRETRO,2270003020,CURRENT
PHDDRETRO,2270003030,CURRENT
PHDDRETRO,2270003040,CURRENT
PHDDRETRO,2270003050,CURRENT
PHDDRETRO,2270003060,CURRENT
PHDDRETRO,2270003070,CURRENT
PHDDRETRO,2270004000,CURRENT
PHDDRETRO,2270004010,CURRENT
PHDDRETRO,2270004011,CURRENT
PHDDRETRO,2270004015,CURRENT
PHDDRETRO,2270004016,CURRENT
PHDDRETRO,2270004020,CURRENT
PHDDRETRO,2270004021,CURRENT
PHDDRETRO,2270004025,CURRENT
PHDDRETRO,2270004026,CURRENT
PHDDRETRO,2270004030,CURRENT
PHDDRETRO,2270004031,CURRENT
PHDDRETRO,2270004035,CURRENT
PHDDRETRO,2270004036,CURRENT
PHDDRETRO,2270004040,CURRENT
PHDDRETRO,2270004041,CURRENT
PHDDRETRO,2270004045,CURRENT
PHDDRETRO,2270004046,CURRENT
PHDDRETRO,2270004050,CURRENT
PHDDRETRO,2270004051,CURRENT
PHDDRETRO,2270004055,CURRENT
PHDDRETRO,2270004056,CURRENT
PHDDRETRO,2270004060,CURRENT
PHDDRETRO,2270004061,CURRENT
PHDDRETRO,2270004065,CURRENT
PHDDRETRO,2270004066,CURRENT
PHDDRETRO,2270004070,CURRENT
PHDDRETRO,2270004071,CURRENT
PHDDRETRO,2270004075,CURRENT
PHDDRETRO,2270004076,CURRENT
PHDDRETRO,2270005000,CURRENT
PHDDRETRO,2270005010,CURRENT
PHDDRETRO,2270005015,CURRENT
PHDDRETRO,2270005020,CURRENT
PHDDRETRO,2270005025,CURRENT
PHDDRETRO,2270005030,CURRENT
PHDDRETRO,2270005035,CURRENT
PHDDRETRO,2270005040,CURRENT
PHDDRETRO,2270005045,CURRENT
PHDDRETRO,2270005050,INACTIVE
PHDDRETRO,2270005055,CURRENT
PHDDRETRO,2270005060,CURRENT
PHDDRETRO,2270006000,CURRENT
PHDDRETRO,2270006005,CURRENT
PHDDRETRO,2270006010,CURRENT
PHDDRETRO,2270006015,CURRENT
PHDDRETRO,2270006020,CURRENT
PHDDRETRO,2270006025,CURRENT
PHDDRETRO,2270006030,CURRENT
PHDDRETRO,2270007000,CURRENT
PHDDRETRO,2270007005,CURRENT
PHDDRETRO,2270007010,CURRENT
PHDDRETRO,2270007015,CURRENT
PHDDRETRO,2270007020,CURRENT
PHDDRETRO,2270008000,CURRENT
PHDDRETRO,2270008005,CURRENT
PHDDRETRO,2270008010,CURRENT
PHDDRETRO,2270009000,CURRENT
PHDDRETRO,2270009010,CURRENT
PHDDRETRO,2270010000,CURRENT
PHDDRETRO,2270010010,CURRENT
PLNDFILBRN,2801500000,CURRENT
PLNDFILBRN,2801500100,CURRENT
PLNDFILBRN,2801500111,CURRENT
PLNDFILBRN,2801500112,CURRENT
PLNDFILBRN,2801500120,CURRENT
PLNDFILBRN,2801500130,CURRENT
PLNDFILBRN,2801500141,CURRENT
PLNDFILBRN,2801500142,CURRENT
PLNDFILBRN,2801500150,CURRENT
PLNDFILBRN,2801500160,CURRENT
PLNDFILBRN,2801500170,CURRENT
PLNDFILBRN,2801500181,CURRENT
PLNDFILBRN,2801500182,CURRENT
PLNDFILBRN,2801500191,CURRENT
PLNDFILBRN,2801500192,CURRENT
PLNDFILBRN,2801500201,CURRENT
PLNDFILBRN,2801500202,CURRENT
PLNDFILBRN,2801500210,CURRENT
PLNDFILBRN,2801500220,CURRENT
PLNDFILBRN,2801500230,CURRENT
PLNDFILBRN,2801500240,CURRENT
PLNDFILBRN,2801500250,CURRENT
PLNDFILBRN,2801500261,CURRENT
PLNDFILBRN,2801500262,CURRENT
PLNDFILBRN,2801500300,CURRENT
PLNDFILBRN,2801500310,CURRENT
PLNDFILBRN,2801500320,CURRENT
PLNDFILBRN,2801500330,CURRENT
PLNDFILBRN,2801500340,CURRENT
PLNDFILBRN,2801500350,CURRENT
PLNDFILBRN,2801500360,CURRENT
PLNDFILBRN,2801500370,CURRENT
PLNDFILBRN,2801500380,CURRENT
PLNDFILBRN,2801500390,CURRENT
PLNDFILBRN,2801500400,CURRENT
PLNDFILBRN,2801500410,CURRENT
PLNDFILBRN,2801500420,CURRENT
PLNDFILBRN,2801500430,CURRENT
PLNDFILBRN,2801500440,CURRENT
PLNDFILBRN,2801500450,CURRENT
PLNDFILBRN,2801500500,CURRENT
PPRBRNFULM,2810015000,CURRENT
PPVAC110,2294000110,INACTIVE
PPVAC130,2294000130,INACTIVE
PPVAC150,2294000150,INACTIVE
PPVAC170,2294000170,INACTIVE
PPVAC190,2294000190,INACTIVE
PPVAC210,2294000210,INACTIVE
PPVAC230,2294000230,INACTIVE
PPVAC250,2294000250,INACTIVE
PPVAC270,2294000270,INACTIVE
PPVAC290,2294000290,INACTIVE
PPVAC310,2294000310,INACTIVE
PPVAC330,2294000330,INACTIVE
PRESWDEDAD,2104008001,CURRENT
PRESWDEDAD,2104008030,CURRENT
PRESWDEDAD,2104008050,CURRENT
PRESWDEDAD,2104008051,CURRENT
PRESWDSTV1,2104008010,CURRENT
PRESWDSTV1,2104008050,CURRENT
PRESWDSTV2,2104008051,CURRENT
PUCHS150,2296000150,INACTIVE
PUCHS170,2296000170,INACTIVE
PUCHS190,2296000190,INACTIVE
PUCHS210,2296000210,INACTIVE
PUHAP270,2296000270,INACTIVE
PUHAP290,2296000290,INACTIVE
PUHAP310,2296000310,INACTIVE
PUHAP330,2296000330,INACTIVE
SCHMADDHOM,2104004000,CURRENT
SLSFRESHET,2104004000,CURRENT
SLSFRESHET,2104005000,CURRENT
VAIRCMACT,2401075000,CURRENT
VAIRCOTC,2401075000,CURRENT
VARCTAIMFR,2401001000,CURRENT
VARCTAIMFR,2401001999,INACTIVE
VARCTAIMOT,2401001000,CURRENT
VARCTAIMOT,2401001999,INACTIVE
VARCTSCPH1,2401001000,CURRENT
VARCTSCPH1,2401001999,INACTIVE
VARCTSCPH2,2401001000,CURRENT
VARCTSCPH2,2401001999,INACTIVE
VARCTSCPH3,2401001000,CURRENT
VARCTSCPH3,2401001999,INACTIVE
VARPTTIER2,2460510000,CURRENT
VASPHREFRM,2461021000,CURRENT
VATRFBARCT,2401005000,CURRENT
VATRFFR1,2401005000,CURRENT
VATRFFR2,2401005000,CURRENT
VATRFOTC,2401005000,CURRENT
VBAKEINC,2302050000,CURRENT
VCLDMACT,2415300000,CURRENT
VCLDMACT,2415305000,CURRENT
VCLDMACT,2415310000,CURRENT
VCLDMACT,2415320000,CURRENT
VCLDMACT,2415325000,CURRENT
VCLDMACT,2415330000,CURRENT
VCLDMACT,2415335000,CURRENT
VCLDMACT,2415340000,CURRENT
VCLDMACT,2415345000,CURRENT
VCLDMACT,2415355000,CURRENT
VCLDMACT,2415360000,CURRENT
VCLDMACT,2415365000,CURRENT
VCLDOTC,2415300000,CURRENT
VCLDOTC,2415305000,CURRENT
VCLDOTC,2415310000,CURRENT
VCLDOTC,2415320000,CURRENT
VCLDOTC,2415325000,CURRENT
VCLDOTC,2415330000,CURRENT
VCLDOTC,2415335000,CURRENT
VCLDOTC,2415340000,CURRENT
VCLDOTC,2415345000,CURRENT
VCLDOTC,2415355000,CURRENT
VCLDOTC,2415360000,CURRENT
VCLDOTC,2415365000,CURRENT
VCLDS1122A,2415300000,CURRENT
VCLDS1122A,2415305000,CURRENT
VCLDS1122A,2415310000,CURRENT
VCLDS1122A,2415320000,CURRENT
VCLDS1122A,2415325000,CURRENT
VCLDS1122A,2415330000,CURRENT
VCLDS1122A,2415335000,CURRENT
VCLDS1122A,2415340000,CURRENT
VCLDS1122A,2415345000,CURRENT
VCLDS1122A,2415355000,CURRENT
VCLDS1122A,2415360000,CURRENT
VCLDS1122A,2415365000,CURRENT
VCLDS1122B,2415300000,CURRENT
VCLDS1122B,2415305000,CURRENT
