POLLUTANT_CODE,POLLUTANT_CODE_DESC,HAP_CATEGORY_NAME,Chemical Formula,Molecular Weight,ACTIVE,LAST_MODIFICATION_DATE,VALID_V20,VALID_V30,COMMENT,Urban HAP 33,Urban HAP_baseline_33,NATO_TEQ,WHO_TEQ,I_TEQ,OzonePrecursor,PMPrecursor,HAP_or_CAP,Pollutant_Rank
10101970,Nickel (II) Sulfate Hexahydrate,Nickel Compounds,NiH2SO4.6H2O,262.7,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
101020,Triphenyl Phosphite,Phosphorus Compounds,,,N,5/5/2004 10:07,Y,N,The pollutant is no longer active.,0,0,,,,0,1,,
10108642,Cadmium Chloride,Cadmium Compounds,CdCl2,183.32,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
101144,"4,4'-Methylenebis(2-Chloraniline)","4,4'-Methylenebis(2-Chloroaniline)",C13H12Cl2N2,267.16,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
10124364,Cadmium Sulfate,Cadmium Compounds,CdH2SO4,210.49,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
10124433,Cobalt Sulfate,Cobalt Compounds,CoH2SO4,157.01,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
10137969,Ethyleneglycol Mono-2-Methylpentyl Ether,Glycol Ethers,C8H18O2,146.23,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
10137981,"Ethyleneglycolmono-2,6,8-Trimethyl-4-Nonyl Ether",Glycol Ethers,C14H30O2,230.39,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
10143530,Diethylene Glycol Ethylvinyl Ether,Glycol Ethers,C8H16O3,160.21,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
10143541,Diethylene Glycol Mono-2-Cyanoethyl Ether,Glycol Ethers,C7H13NO3,159.19,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
10143563,Diethyleneglycol-Mono-2-Methyl-Pentyl Ether,Glycol Ethers,C10H22O3,190.28,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
101688,"4,4'-Methylenediphenyl Diisocyanate","4,4'-Methylenediphenyl Diisocyanate (MDI)",C15H10N2O2,250.26,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
101779,"4,4'-Methylenedianiline","4,4'-Methylenedianiline",C13H14N2,198.27,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
102,Benzo[b+k]Fluoranthene,Polycyclic Organic Matter as 7-PAH,C18H10,226.28,Y,11/26/2001 11:02,Y,Y,,1,1,,,,1,1,HAP,1
10215335,3-Butoxy-1-Propanol,Glycol Ethers, C7H16O2,132.2,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
10294403,Barium Chromate,Chromium Compounds,BaCrH2O4,255.34,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
10294561,Phosphorous Acid,Phosphorus Compounds,,,N,5/5/2004 10:07,Y,N,The pollutant is no longer active.,0,0,,,,0,1,,
103,Benz(a)Anthracene/Chrysene,Polycyclic Organic Matter as 7-PAH,C18H12,228.29,Y,3/13/2003 9:14,N,Y,,1,1,,,,1,1,HAP,1
10325947,Cadmium Nitrate,Cadmium Compounds,Cd(HNO3)2,238.44,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
10377669,Manganese Nitrate,Manganese Compounds,Mn(HNO3)2,180.96,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
10588019,Sodium Dichromate,Chromium Compounds,Na2(Cr2H2O7),263.98,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
106423,p-Xylene,Xylenes (Mixed Isomers),C8H10,106.17,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
106445,p-Cresol,Cresol/Cresylic Acid (Mixed Isomers),C7H8O,108.14,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
106467,"1,4-Dichlorobenzene","1,4-Dichlorobenzene",C6H4Cl2,147,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
106503,p-Phenylenediamine,p-Phenylenediamine,C6H8N2,108.14,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
106514,Quinone,Quinone (p-Benzoquinone),C6H4O2,108.1,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
106887,"1,2-Epoxybutane","1,2-Epoxybutane",C4H8O,72.11,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
106898,"1-Chloro-2,3-Epoxypropane","Epichlorohydrin (1-Chloro-2,3-Epoxypropane)",C3H5ClO,92.52,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
106934,Ethylene Dibromide,Ethylene Dibromide (Dibromoethane),C2H4Br2,187.86,Y,11/26/2001 11:02,Y,Y,,1,1,,,,1,0,HAP,1
106990,"1,3-Butadiene","1,3-Butadiene",C4H6,54.09,Y,11/26/2001 11:02,Y,Y,,1,1,,,,1,0,HAP,1
107028,Acrolein,Acrolein,C3H4O,56.06,Y,11/26/2001 11:02,Y,Y,,1,1,,,,1,0,HAP,1
107051,Allyl Chloride,Allyl Chloride,C3H5Cl,76.53,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
107062,Ethylene Dichloride,"Ethylene Dichloride (1,2-Dichloroethane)",C2H4Cl2,98.96,Y,11/26/2001 11:02,Y,Y,,1,1,,,,1,0,HAP,1
107131,Acrylonitrile,Acrylonitrile,C3H3N,53.06,Y,11/26/2001 11:02,Y,Y,,1,1,,,,1,0,HAP,1
107211,Ethylene Glycol,Ethylene Glycol,C2H6O2,62.07,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
107302,Chloromethyl Methyl Ether,Chloromethyl Methyl Ether,C2H5ClO,80.51,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
107982,Propylene Glycol Monoethyl Ether,Glycol Ethers,,,N,3/13/2003 8:47,Y,N,,0,0,,,,0,0,,
108054,Vinyl Acetate,Vinyl Acetate,C4H6O2,86.09,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
108101,Methyl Isobutyl Ketone,Methyl Isobutyl Ketone (Hexone),C6H12O,100.16,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
108316,Maleic Anhydride,Maleic Anhydride,C4H2O3,98.06,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
108383,m-Xylene,Xylenes (Mixed Isomers),C8H10,106.17,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
108394,m-Cresol,Cresol/Cresylic Acid (Mixed Isomers),C7H8O,108.14,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
108656,Propylene Glycol Methyl Ether Acetate,Glycol Ethers,,,N,9/19/2002 0:00,Y,N,,0,0,,,,0,0,,
108883,Toluene,Toluene,C7H8,92.14,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
108907,Chlorobenzene,Chlorobenzene,C6H5Cl,112.56,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
108952,Phenol,Phenol,C6H6O,94.11,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
109,Beryllium & Compounds,Beryllium Compounds,,,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,2
109591,Isopropyl Glycol,Glycol Ethers,,,N,9/19/2002 0:00,Y,N,,0,0,,,,0,0,,
